english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
MAJESTIC ENDEAVOUR,A399, High Chaparral, Kylie's Way,2019-01-30,378,HV tf g A,1650,4,WD,C. Fownes,118,C. Schofield,3,XB,1:41:81,24.01, ,6-7-6-5,3.75,1162.0,45.0,11.0,
MARQULA,V423, Coast Guard, Marquet Formula,2019-04-14,580,ST tf g/y C,1600,4,DNF,C. W. Chang,131,N. Callan,9,B/TT,1:36:63,25.15, ,6-7-6-9,6,1230.0,56.0,19.0,64.0
MEGA TREASURE,A237, Kodiac, Defined Feature,2017-05-31,694,ST aw g -,1200,3,WD,A. Lee,119,M. L. Yeung,5, ,1:08.9,22.9, ,13-14-14,14.5,1037.0,71.0,60.0,
MIDNIGHT RATTLER,T371, Clang, Mezentseva,2016-05-18,656,HV tf g B,1200,2,WD,J. Moore,120,C. Schofield,4,B1   ,1:09.3,22.8, ,4-5-9,3.25,1126.0,84.0,23.0,
MR WEALTH,B265, Tamayuz, Empire Rose,2019-03-24,529,ST tf g C+3,1400,3,DNF,K. L. Man,125,N. Callan,9,H/P,1:22:74,23.43,14.25 22.36 23.98 ,10-9-8-9,3.75,1145.0,72.0,11.0,24.0
MY BEGINNER'S LUCK,A420, Starcraft, Flowerchild,2017-11-22,214,HV tf g C+3,1200,3,WD,M. Freedman,127,N. Rawiller,10,H-/CP1/TT,1:10:04,23.48, ,3-5-12,6,1113.0,71.0,,
MR LUMIERES,B179, Congrats, Zakynthos Star,2019-01-30,383,HV tf g A,1200,2,WD,D. Hall,121,C. Schofield,8,B-,1:09:94,23.81, ,5-3-10,9.5,1100.0,83.0,,
MR LUMIERES,B179, Congrats, Zakynthos Star,2018-05-20,662,ST tf g/f C+3,1000,3,WD,D. Hall,132,A. Sanna,11, ,0:55:43,21.92, ,1-1-2,2,,77.0,,
MY DARLING,V142, Mossman, Syrian Bride,2019-02-17,428,ST tf g A+3,1400,2,WD,T. P. Yung,117,M. L. Yeung,1, ,1:22:77,22.46, ,4-4-2,H,,83.0,,
NASHASHUK,V143, Northern Meteor, Kiss 'n Chase,2017-06-21,745,HV tf g C,1200,4,DISQ,John Size,124,J. Moreira,4, ,1:10.2,23.2,23.94 23.18 23.09,4-3-9,12,1066.0,51.0,2.7,2.2
